DateTime,PM25_ug_m3,ET_C,RH_pct,WS_km_h,WD_deg,Location
2026/06/17 14:00,1.692,14.233,49.454,24.314,346.666,Airdrie
2026/06/08 21:00,1.694,16.549,24.86,6.119,256.83,Calgary Northwest
2026/06/11 20:00,1.694,11.916,66.807,19.798,346.753,Calgary Central
2026/06/28 15:00,1.694,13.748,99.798,25.84,357.664,Airdrie
2026/06/08 04:00,1.701,7.714,99.736,4.964,172.507,Calgary Southeast
2026/06/12 01:00,1.702,8.629,99.885,9.358,326.643,Airdrie
2026/06/08 18:00,1.704,19.654,16.296,9.112,294.781,Calgary Northwest
2026/06/02 10:00,1.705,8.411,99.503,28.148,337.047,Calgary Central
2026/06/16 23:00,1.706,12.144,58.33,9.993,297.75,Calgary Central
2026/06/07 08:00,1.707,8.419,64.828,11.151,331.863,Calgary Northwest
2026/06/02 21:00,1.712,8.088,99.214,14.734,339.092,Calgary Central
2026/06/02 08:00,1.716,7.824,99.294,25.073,332.92,Calgary Central
2026/06/08 05:00,1.716,6.394,99.8,6.596,201.111,Airdrie
2026/06/17 13:00,1.718,13.707,52.597,29.792,349.612,Airdrie
2026/06/02 09:00,1.719,8.301,99.501,26.529,339.278,Calgary Central
2026/06/10 04:00,1.725,9.56,82.539,5.589,275.617,Calgary Northwest
2026/06/10 10:00,1.727,10.325,99.561,23.46,332.815,Calgary Central
2026/06/02 05:00,1.729,8.181,99.801,19.176,341.553,Calgary Southeast
2026/06/08 18:00,1.729,19.414,13.588,15.907,266.431,Airdrie
2026/06/02 20:00,1.733,7.779,99.8,16.553,353.95,Airdrie
2026/06/08 09:00,1.733,13.972,33.701,23.304,262.626,Airdrie
2026/06/08 17:00,1.738,19.532,15.172,9.185,286.252,Calgary Northwest
2026/06/09 00:00,1.751,10.997,37.735,11.161,292.964,Airdrie
2026/06/12 02:00,1.752,8.7,99.898,9.892,330.46,Airdrie
2026/06/02 02:00,1.753,7.052,87.005,17.576,313.73,Calgary Northwest
2026/06/11 21:00,1.753,11.224,73.669,8.323,312.671,Calgary Southeast
2026/06/07 10:00,1.755,12.421,35.352,3.932,293.181,Calgary Southeast
2026/06/02 01:00,1.757,7.232,86.629,19.348,320.19,Calgary Northwest
2026/06/08 10:00,1.757,16.622,18.606,15.593,275.015,Calgary Southeast
2026/06/16 20:00,1.759,12.493,63.602,8.852,291.731,Calgary Central
2026/06/12 18:00,1.767,10.805,73.305,20.179,356.02,Airdrie
2026/06/02 19:00,1.768,8.159,87.519,11.2,338.823,Calgary Northwest
2026/06/17 04:00,1.772,10.806,56.694,6.989,288.79,Calgary Southeast
2026/06/09 09:00,1.773,14.718,35.111,11.157,245.952,Calgary Southeast
2026/06/02 03:00,1.776,8.047,99.735,24.36,331.014,Calgary Southeast
2026/06/08 13:00,1.776,18.075,19.915,14.361,220.101,Airdrie
2026/06/08 19:00,1.778,19.035,16.916,14.958,266.958,Airdrie
2026/06/09 04:00,1.778,8.715,48.411,3.414,260.407,Airdrie
2026/06/02 21:00,1.779,7.805,88.185,6.574,312.155,Calgary Northwest
2026/06/09 10:00,1.78,14.917,39.905,16.023,275.726,Airdrie
2026/06/08 14:00,1.787,18.264,18.534,17.027,230.642,Airdrie
2026/06/07 18:00,1.788,8.789,67.933,7.042,349.298,Calgary Northwest
2026/06/17 02:00,1.788,10.929,57.168,8.008,277.581,Calgary Southeast
2026/06/16 22:00,1.789,11.986,60.979,8.803,280.354,Calgary Central
2026/06/17 01:00,1.795,9.88,70.263,4.798,286.046,Calgary Northwest
2026/06/02 20:00,1.799,8.028,87.05,9.858,328.526,Calgary Northwest
2026/06/08 12:00,1.799,18.155,15.917,6.583,267.583,Calgary Southeast
2026/06/17 03:00,1.801,11.399,55.109,9.581,322.571,Calgary Central
2026/06/02 22:00,1.802,7.813,88.091,8.37,327.388,Calgary Northwest
2026/06/09 10:00,1.802,14.808,43.597,9.353,274.038,Calgary Northwest
2026/06/10 00:00,1.802,13.186,45.874,6.536,289.497,Calgary Southeast
2026/06/12 17:00,1.806,11.194,59.086,14.613,340.259,Calgary Northwest
2026/06/17 01:00,1.807,11.418,55.997,8.647,278.733,Calgary Southeast
2026/06/08 05:00,1.809,8.346,67.262,5.144,212.144,Calgary Northwest
2026/06/02 20:00,1.811,8.507,99.288,19.251,339.143,Calgary Central
2026/06/08 02:00,1.812,8.468,98.209,5.538,67.134,Calgary Southeast
2026/06/09 11:00,1.812,16.553,32.859,5.343,298.404,Calgary Central
2026/06/08 16:00,1.813,19.279,14.148,17.356,266.256,Airdrie
2026/06/17 02:00,1.815,9.626,69.708,4.749,279.289,Calgary Northwest
2026/06/08 17:00,1.82,19.424,12.267,16.454,257.415,Airdrie
2026/06/12 21:00,1.822,9.423,68.697,11.479,337.118,Airdrie
2026/06/17 06:00,1.822,11.574,51.581,8.806,310.308,Calgary Central
2026/06/08 11:00,1.824,17.43,16.723,8.055,287.505,Calgary Southeast
2026/06/10 05:00,1.824,10.03,99.595,7.21,315.822,Calgary Central
2026/06/28 14:00,1.824,12.886,99.577,27.573,334.673,Calgary Southeast
2026/06/08 08:00,1.828,14.239,28.689,13.247,281.057,Calgary Central
2026/06/10 09:00,1.832,10.144,77.265,17.677,337.779,Calgary Northwest
2026/06/10 17:00,1.842,15.149,41.274,29.749,334.086,Calgary Southeast
2026/06/02 17:00,1.843,8.307,99.8,22.993,3.975,Airdrie
2026/06/08 12:00,1.849,18.332,17.37,5.995,250.042,Calgary Central
2026/06/17 04:00,1.849,11.361,54.773,11.041,313.785,Calgary Central
2026/06/28 12:00,1.85,11.716,99.8,28.839,334.892,Airdrie
2026/06/05 22:00,1.852,11.654,36.835,12.556,240.122,Calgary Southeast
2026/06/12 00:00,1.854,8.906,99.85,11.164,331.724,Airdrie
2026/06/08 21:00,1.855,14.679,29.514,14.192,260.156,Airdrie
2026/06/01 15:00,1.856,6.973,99.3,33.273,326.228,Calgary Central
2026/06/18 05:00,1.856,8.481,99.885,8.127,320.253,Airdrie
2026/06/08 03:00,1.857,7.929,99.762,4.526,137.451,Calgary Southeast
2026/06/12 20:00,1.859,10.075,63.514,15.367,337.906,Airdrie
2026/06/10 17:00,1.863,13.82,55.338,25.337,335.046,Airdrie
2026/06/10 07:00,1.869,9.888,77.153,9.097,317.219,Calgary Northwest
2026/06/12 03:00,1.872,8.559,99.892,10.327,333.769,Airdrie
2026/06/16 19:00,1.875,12.347,72.192,11.293,322.8,Calgary Southeast
2026/06/02 02:00,1.877,7.363,99.8,28.283,342.336,Airdrie
2026/06/17 05:00,1.878,11.534,51.428,10.798,308.665,Calgary Central
2026/06/02 08:00,1.883,7.547,99.816,28.863,349.481,Airdrie
2026/06/08 09:00,1.883,15.569,24.233,15.97,286.714,Calgary Central
2026/06/17 03:00,1.886,11.253,53.919,5.773,286.622,Calgary Southeast
2026/06/08 15:00,1.888,20.202,12.785,5.476,248.881,Calgary Central
2026/06/17 08:00,1.892,12.547,49.468,16.672,331.073,Calgary Central
2026/06/01 14:00,1.893,6.91,99.296,33.452,330.13,Calgary Central
2026/06/17 09:00,1.893,13.518,48.758,17.466,328.967,Calgary Central
2026/06/01 22:00,1.897,7.414,99.259,30.104,322.99,Calgary Central
2026/06/08 15:00,1.9,18.783,15.834,18.61,243.628,Airdrie
2026/06/09 17:00,1.901,20.288,21.451,1.762,247.732,Calgary Southeast
2026/06/05 23:00,1.903,10.953,33.726,6.159,264.808,Calgary Central
2026/06/02 18:00,1.909,8.269,99.8,20.223,359.953,Airdrie
2026/06/08 05:00,1.909,7.741,99.797,5.57,205.292,Calgary Southeast
2026/06/08 13:00,1.912,18.867,15.513,8.735,258.492,Calgary Central
2026/06/13 04:00,1.914,6.397,99.9,12.666,309.206,Airdrie
2026/06/10 09:00,1.916,10.439,99.651,23.459,342.38,Calgary Central
2026/06/16 15:00,1.919,12.182,99.905,18.169,2.753,Airdrie
2026/06/09 15:00,1.921,18.963,25.845,4.135,189.728,Calgary Southeast
2026/06/11 19:00,1.921,12.793,66.417,8.089,355.692,Calgary Northwest
2026/06/18 00:00,1.923,9.58,99.801,9.12,287.366,Airdrie
2026/06/07 22:00,1.924,10.402,53.882,5.954,211.686,Calgary Southeast
2026/06/17 00:00,1.931,12.187,54.547,7.501,294.013,Calgary Central
2026/06/09 18:00,1.932,18.271,30.234,13.913,335.734,Calgary Central
2026/06/02 19:00,1.937,8.394,99.127,18.283,339.197,Calgary Central
2026/06/10 02:00,1.937,10.991,83.298,6.576,313.391,Calgary Southeast
2026/06/08 18:00,1.939,21.142,9.69,5.998,271.128,Calgary Southeast
2026/06/12 14:00,1.94,11.453,54.735,19.274,349.653,Calgary Central
2026/06/09 10:00,1.942,15.461,37.262,7.391,279.764,Calgary Central
2026/06/10 04:00,1.945,10.281,99.619,6.982,319.371,Calgary Central
2026/06/08 19:00,1.947,19.649,13.962,7.748,308.947,Calgary Central
2026/06/17 20:00,1.948,10.83,99.84,8.226,345.342,Airdrie
